"sha","hour_block","day_of_week"
"fc69214f03c7d8227edd2951eb4c106b3957ba5e","15-18","Thursday"
"1157470bc033b6efc68ad79b326e4fa0aeb0b026","15-18","Thursday"
"ec2f0f12db1a5e1d595203f9a0ec0cac6862250c","18-21","Thursday"
"e7cb9ca2c152e7ba1e8b785d6d2a60ac79edba02","18-21","Thursday"
"97215822f90cac274e92e642fcd724cc940fe0eb","18-21","Thursday"
"9e10bf1cf0e8e60d4a4469077b0fac2ac64b6ff8","21-00","Thursday"
"774a5a90383ef4da61d7d00967751ee69292166c","21-00","Thursday"
"be8f96baa2564faebf65189702138a1dc57f100c","21-00","Thursday"
"249ff2f361db92b5960724a0385632e2e27ba397","00-03","Friday"
"0d962c2967f41ac5cf216ca2b4f9995214f233c3","03-06","Friday"
"85482e86f5f93015487938acfb0cca368059e7e3","09-12","Friday"
"5cb8ef80a0bd84651fb660c552563766d8ec0ea1","09-12","Friday"
"24532312b694242ba74644fdd43a487e93122235","12-15","Friday"
"d1fe67184da26fb0bca2416e26f321747fa4aa5d","12-15","Friday"
"03b04a3d54c0c2aff9873f88de116fad49f90600","12-15","Friday"
"981afe2a4f998335e657c3897ffc7f8df269f680","15-18","Friday"
"139575448716fb1ebeafb736e1c9cc30800ef0b6","18-21","Friday"
"5f208ed33bef2ee93a30981273b0be2885dec062","18-21","Friday"
"37d8d62a7e3d899d9ef733ad0293c2ec4ad3530b","18-21","Friday"
"2b4ad8a18c7c3975a30afe86030b2db9f8daf6f6","18-21","Friday"
"761c0da723799c3c37d9eb2cadaa9c4fa256d13a","18-21","Friday"
"d6051fd10a0949264098af23ce74c76129cfbcf4","18-21","Friday"
"d59b0533e18c7cf0ff17f8af50731d700a2e4b4d","12-15","Saturday"
"1133035f7912fb2d2612c7cee5017ebf01f8ec9d","12-15","Saturday"
"47a9fff5c3196f9566468099194b980d3f2826a1","12-15","Saturday"
"fe59f4ae211d35ba5e85882b457dd26d22e84c62","12-15","Saturday"
"6b21e4b88c3d18eb1ba176e6ac53da90a4523880","15-18","Saturday"
"779af8238ad86097f287a5c3bd67f48ba22f67ff","15-18","Saturday"
"a66edcbb2c9c04031326a3965c76a419043338ff","15-18","Saturday"
"fdc7a31aeb3d9f64579ee6ad83107b021eb2cade","18-21","Saturday"
"fb6c501124186f695b9dfa497cde10298ac12e9f","18-21","Saturday"
"3193857376bc2c8cd2eb133017be1e8cbcaa8405","18-21","Saturday"
"f366d955cd3be551c96ad7f794e0b8525900d13d","06-09","Monday"
"9432a3f4633e1cc75ad853fe6ab9398f1b6856e4","06-09","Monday"
"3aee8358856f373a3efda6c49bfdf70ba119ce01","06-09","Monday"
"9a8c2044bd0dab209c1e4cbf11d59297664dab08","09-12","Monday"
"2b6462b5a44ea4502c8f4d1b3d7bc9814a65c937","09-12","Monday"
"c605ef0ca349e606033e8772315a4643f33d9276","09-12","Monday"
"0117246db65c631a06a4bc9ee24ad9abdecc820e","15-18","Monday"
"bb4a0b39e8c021772830c9d44e72e492e0fef4bb","18-21","Monday"
"d3a2dbe028e4a8c2da9fcb2b3257e2117c413a73","18-21","Monday"
"1bd538be8c5b134643a6c5eddd06f70e6f0db2e7","21-00","Monday"
"caeca2d143152ef037ccbaae858f1e2fa6763674","03-06","Tuesday"
"4dacab372237633533b329d65580fe19ec87af14","03-06","Tuesday"
"54790274c2edf39c06f494a900bc85523349a77f","06-09","Tuesday"
"492acc274b278728069da246c88162f938cb0fb0","09-12","Tuesday"
"d9f70dffd1813fa6356d8981167eca6d5f317bb1","09-12","Tuesday"
"cf1e26b04669ad2b232618fee623e6bc7797a13a","09-12","Tuesday"
"df3569cf489ce8ef26f5b4d9d9c3826d3daad5f2","12-15","Tuesday"
"94cad11b439e0ab102268e9e7221b0ab9d98e0df","12-15","Tuesday"
"1189fb43e97cb39ff771ffabd17d60cf440a9bb7","12-15","Tuesday"
"d9ff55cf6d95bb342fed7a87613db7b9e7c8dd0f","15-18","Tuesday"
"cb4c9e55230622a7e71f76b6bc0b2f3bcd71ad60","15-18","Tuesday"
"4dea64eca6d2cff2703f54020bcff1879a1de591","15-18","Tuesday"
"0936e62ac109250ee60629f8eb93268a2dba4d43","18-21","Tuesday"
"b633111527b669edb215085c9fe0ec753f251ca4","18-21","Tuesday"
"5a3ee90182429fa7b7a7607dcfcb946897646efd","18-21","Tuesday"
"d1084a1d48119a12797b574a00cfb224878ba9c4","18-21","Tuesday"
"514112c9a214a32e1e42f4a36f03d29afe332821","18-21","Tuesday"
"45f1fda2fac8bf5455a1f444b98b58d38ea2db63","21-00","Tuesday"
"a018f0f5dc9114d06a81efd42ac3f745260507de","21-00","Tuesday"
"e05e3a9db8b6d38cfbff63ce008e20185dcf2482","21-00","Tuesday"
"cb1ecb0647d459999041ee6018f8f282fc25b09b","09-12","Wednesday"
"d8c0e3009a649ce057595539b96a566b7faa5584","09-12","Wednesday"
"7ebda3898db2eee72d043a9565a674dea72cd8fa","09-12","Wednesday"
"3363004450355582712272924fac551dc1f7bd56","15-18","Wednesday"
"4beb89965c4ee05498734aa86af2df7ee27e9a51","15-18","Wednesday"
"0b3b6704cb12a3b8f22da79d80b3db85528418b7","15-18","Wednesday"
"a03f6ccb153f9b95f624d5bc3346f315ca3f0211","18-21","Wednesday"
"28d1bf8dfc03787cc2b4373bbaa27527bdd91846","21-00","Wednesday"
"76e2e04ad6bfcf00b5bb71053fc66168174a12ae","00-03","Thursday"
"d677a263be0a55fcbbb905f7f47b67bf0f77f59d","00-03","Thursday"
"4e185716c63ec930d83790a0b6472ec42ab1c90b","00-03","Thursday"
"17e5e7b3b0ceae9f7e25bbee2d4beb62a9aaab39","00-03","Thursday"
"30e93ffebbe355f056f300a6413c114be3206e44","06-09","Thursday"
"ae3a61775a79a3000df0a8bdf50807033f4e3cdc","06-09","Thursday"
"3c30e54de3b8a6fe793b0ff1ed8225562779d96c","06-09","Thursday"
"7bf53395f2802b9952b0e90ffe548f70c50907ad","06-09","Thursday"
"8871a9ef7b58b8bd84b8d12bc539ab6362a5ba29","06-09","Thursday"
"8bce0cef214d2baab2fde47a4bb88841d3d4fbef","06-09","Thursday"
"6d184d3a589b988c306aa3614e0f83e514b3f526","06-09","Thursday"
"fc4f37b105ca0f03de7cc49ab4f00751287ae145","06-09","Thursday"
"8e296a09fc5c49188a129356caca8c3ea5eee000","09-12","Thursday"
"f81402e3fdaf58f83a14fe5ec5a8a782dfb13b99","12-15","Thursday"
"f5aed58d9fb2137fa5f0e3ce75b6709bf8393a94","15-18","Thursday"
"33709f07afc337ddf429afcc74707a403fcf3513","15-18","Thursday"
"955e9492cf78bf640fef4f30f480f11ca1e5d43f","15-18","Thursday"
"db8cbf6ab5e144f58555e0c30361d8d6ec31ef21","18-21","Thursday"
"abea18902257c0250fedb764edda462f9e5abc84","18-21","Thursday"
"0b4f1c116a6129d3125b953312ad0cbf4ebab7ce","21-00","Thursday"
"e065f6a9f84a4af7080af1fa9116958a7890c0fc","21-00","Thursday"
"cfe759dc59bfc3390e7ba07184f0de9eb725122d","21-00","Thursday"
"d2cf8a5cc1819ec802086a68ffae9f143264036b","21-00","Thursday"
"24a94bbb603c5308a2e8817dc356492287f7b174","00-03","Friday"
"54f1fb0574a6ecf8f415bbf6da1aaf6f1999bb29","03-06","Friday"
"c63b7774cdba29394ec746b381f45e816dcb0830","06-09","Friday"
"ac00547512f33b1222d699c7857108360d99b233","09-12","Friday"
"a1f5a5425e65c40e9baaf5eb4faeaed01cee3569","09-12","Friday"
"7bf952b4781925c06d3941530d58b9ba100969ac","09-12","Friday"
"e6f21174ab42092b4ccc9f264627aa43b48b5a02","09-12","Friday"
"45548b9451fba4e48c6f0c0ba6050482c2ea2956","15-18","Friday"
"9d4bc592cf3cc9a907fd2219355990a9806aba7f","15-18","Friday"
"903dd8d07fb29ed96584fb6d1438dacb8e5d76f1","18-21","Friday"
"1bc791ec8eb4ff8fb0474807c222a04d63192bb8","18-21","Friday"
"9137740b2e8937aaf65c7c86dd11b096d028e7d2","09-12","Saturday"
"48eccb8f967ac559a33dd639bf2c50e0288eb1a8","06-09","Sunday"
